,n,eta,s0,R,d
0,0.42349470041968806,0.5383063533889261,0.6015779631953645,0.531040153848833,0.49800497245793085
1,0.44317313829434213,0.5433576661808815,0.5704069821574738,0.5676554738022873,0.4132059790000808
2,0.6372896086883713,0.4480571888220413,0.0929803919672789,0.47525458527010883,1.000000000000002
3,0.5331488700763155,0.47047020115687327,0.7466928510360749,0.552810488060855,0.28471713240108026
4,0.471037755204095,0.5068458994377808,0.5826823810238051,0.5096763023640332,0.5245767867581114
5,0.419663819157842,0.5391652558805746,0.49600507956340645,0.5119348429836843,0.6498896986731831
6,0.5513760192098609,0.4821217243117206,0.4796062172362031,0.5144267012737989,0.5107858798924182
7,0.331184481696843,0.5528819962814634,1.000000000000001,0.5029907261527928,0.37895068493145284
8,0.5248313885514807,0.49015152141089435,0.49372282778760435,0.5108069713423173,0.5365762675195698
9,0.5821969853221766,0.4641152066218883,0.6758222857574038,0.5787868777635029,0.24781329504138788
